,id,text,created_at
0,1870502895071756538,@diana_dukic Yes,2024-12-21 16:13:37+00:00
1,1870501969888153909,"Wow, what a scam! https://t.co/SCVMIyiQer",2024-12-21 16:09:56+00:00
2,1870501468564062232,@GadSaad @CherylWroteIt 😂,2024-12-21 16:07:56+00:00
3,1870501248841203797,@TheFigen_ Not bad. Room for improvement.,2024-12-21 16:07:04+00:00
4,1870500463143199062,Important thread to understand the magnitude of failure by the German government https://t.co/CRz61jzA0N,2024-12-21 16:03:57+00:00
5,1870499994937208875,RT @visegrad24: Saudi Arabia warned the German authorities 3 times about the murderous intentions of the Magdeburg terrorist,2024-12-21 16:02:05+00:00
6,1870499850745414078,@WallStreetMav Total nutjob,2024-12-21 16:01:31+00:00
7,1870499617210826944,The vast emptiness of space https://t.co/CyQlo9aDje,2024-12-21 16:00:35+00:00
8,1870498808456728588,@EvaLovesDesign Beautiful,2024-12-21 15:57:22+00:00
9,1870498641477280042,@ZachWarunek True,2024-12-21 15:56:42+00:00
10,1870498036583116957,That would be industrial production proportionate to population https://t.co/BKXI0RLbp3,2024-12-21 15:54:18+00:00
11,1870497224024830125,@JustS0meDad @empyriangaming 😂,2024-12-21 15:51:05+00:00
12,1870496906075582966,@Rob_2628 Wow,2024-12-21 15:49:49+00:00
13,1870496789239075288,@amuse @DefiantLs Yes,2024-12-21 15:49:21+00:00
14,1870496736294457855,Hakeem obediently repeats the lie https://t.co/3snq8SYboM,2024-12-21 15:49:08+00:00
15,1870496147997085911,The population collapse will be much worse than that https://t.co/OqHlAPeWQD,2024-12-21 15:46:48+00:00
16,1870495918375735798,"Yeah, he was obviously a lunatic who should never have been allowed to enter Germany and should have been extradited when Saudi Arabia made the request. 

Suicidal empathy by the German government. https://t.co/nCVEnwKa2P",2024-12-21 15:45:53+00:00
17,1870494155505635569,RT @johnkrausphotos: https://t.co/DBY9saEzew,2024-12-21 15:38:53+00:00
18,1870493846313816136,Japan and many other countries face population collapse https://t.co/wadq6ZdCuW,2024-12-21 15:37:39+00:00
19,1870493553555816629,@TorstenProchnow @ACTBrigitte The guy is obviously an unhinged psychopath who should not have been allowed into Germany and should have been extradited when Saudi Arabia made the request,2024-12-21 15:36:29+00:00
20,1870492726581694827,@MarioNawfal That will fail,2024-12-21 15:33:12+00:00
21,1870490847453823362,"RT @SpaceX: On board this mission are 30 payloads for KOREA ADD, Arrow Science and Technology, Exolaunch, HawkEye 360, Maverick Space Syste…",2024-12-21 15:25:44+00:00
22,1870490825265733834,RT @SpaceX: Watch Falcon 9 launch the Bandwagon-2 mission to a mid-inclination orbit  https://t.co/VvWFrfYkZo,2024-12-21 15:25:39+00:00
23,1870489374888013949,Try Grok profile summaries https://t.co/wunEecfJ4v,2024-12-21 15:19:53+00:00
24,1870488903452676105,"The traditional political parties in Germany have utterly failed the people. 

🇩🇪 AfD is the only hope for Germany 🇩🇪 https://t.co/zyAlb18G6d",2024-12-21 15:18:01+00:00
25,1870488080701870154,Exactly https://t.co/zf5RmbtKEP,2024-12-21 15:14:45+00:00
26,1870486077942693935,@HSajwanization Absolutely,2024-12-21 15:06:47+00:00
27,1870485949446263069,@teslaownersSV Always has been,2024-12-21 15:06:16+00:00
28,1870485761478586584,@diana_dukic Yes,2024-12-21 15:05:32+00:00
29,1870485471899623592,Lyin’ Liz Warren aka Pocahontas https://t.co/gzbmzIqDOW,2024-12-21 15:04:23+00:00
30,1870485116474278240,"RT @cb_doge: ""Old school journalism is dead. Citizen journalism is the future. It's by the people, for the people. It absolutely fundamenta…",2024-12-21 15:02:58+00:00
31,1870483950323503594,RT @EndWokeness: Canada has hope https://t.co/7S01SJITsK,2024-12-21 14:58:20+00:00
32,1870483899148632333,True https://t.co/uNdxkFsqON,2024-12-21 14:58:08+00:00
33,1870483348763910560,"RT @ElonClipsX: Elon Musk: We will not accept an anointed class of journalists who tell us what to think.

“What we're not going to do is s…",2024-12-21 14:55:56+00:00
34,1870483280191209982,@BillAckman @POTUS Yeah,2024-12-21 14:55:40+00:00
35,1870483256430243917,"RT @BillAckman: That @POTUS Biden is mentally sharp is perhaps the worst lie ever told to the American people by the media, an Administrati…",2024-12-21 14:55:34+00:00
36,1870482941496947150,The atheist angle was a scam to avoid extradition https://t.co/r2DvFs1I4i,2024-12-21 14:54:19+00:00
37,1870482816787706273,"RT @teslaownersSV: ""ALL FEDERAL SPENDING IS TAXATION."" 

Elon Musk
 https://t.co/wpOOSLSmx0",2024-12-21 14:53:50+00:00
38,1870475061947433358,Legacy media is a nonstop psy op,2024-12-21 14:23:01+00:00
39,1870474960843706488,Yes https://t.co/1HRijzbtYb,2024-12-21 14:22:37+00:00
40,1870473997369946233,"RT @MarioNawfal: 🚨ELON: EXTREMELY IMPORTANT TO UNDERSTAND THAT GOVERNMENT SPENDING IS A TAX ON EVERY AMERICAN

Nobel Prize-winning economis…",2024-12-21 14:18:47+00:00
41,1870471770723196942,"True. 

Someone tell @SenSanders. https://t.co/XJ8RATeYMV",2024-12-21 14:09:56+00:00
42,1870471494532231646,Robots gonna be so crazy in the future! https://t.co/ln4zv7X65l,2024-12-21 14:08:50+00:00
43,1870471218266263795,@EngineeringInsd It’s awesome,2024-12-21 14:07:44+00:00
44,1870470964473201091,😂 https://t.co/KuzTkswCBb,2024-12-21 14:06:44+00:00
45,1870466368426140066,Freedom of speech is the bedrock of democracy https://t.co/VsTOql7UNF,2024-12-21 13:48:28+00:00
46,1870465881710715078,RT @Moraqeb2020: 🔴Saudi girl living in #Germany reported to the German police in September 2023 about the danger of a man called Talib Abd…,2024-12-21 13:46:32+00:00
47,1870465006094921796,Absolutely https://t.co/uq3j9mfZWy,2024-12-21 13:43:03+00:00
48,1870464614665711793,@JamesEsses True,2024-12-21 13:41:30+00:00
49,1870464208304779767,"RT @TPointUK: Konstatin Kisin shuts down a group of triggered leftists who can’t accept that Britain ended the Slave Trade, and their ances…",2024-12-21 13:39:53+00:00
50,1870458865483218977,"@MarioNawfal If you’re reading something in legacy media, it’s fiction",2024-12-21 13:18:39+00:00
51,1870417533032951971,@DefiyantlyFree 🎯,2024-12-21 10:34:25+00:00
52,1870354965698375719,@DefiyantlyFree We shall see,2024-12-21 06:25:47+00:00
53,1870354616140882236,"RT @cb_doge: I strongly recommend everyone to create/join and contribute towards the communities of your interest on 𝕏

 https://t.co/tPAlz…",2024-12-21 06:24:24+00:00
54,1870352908812009605,@pmarca Yes,2024-12-21 06:17:37+00:00
55,1870348194191667359,@Rothmus Hmm,2024-12-21 05:58:53+00:00
56,1870347104201175455,We will soon add a “Grok Enhance” tool to post composition offering improvements ranging from better grammar and fixing typos to added information and arguments https://t.co/eLWTI3Am2H,2024-12-21 05:54:33+00:00
57,1870345037005111348,Extremely important thing to understand! https://t.co/v1zznaCQBj,2024-12-21 05:46:20+00:00
58,1870344716174360815,"RT @WallStreetMav: President Trump just got a massive win in Congress  

After he blocked the Swamp 1,500+ page version, he got a clean ver…",2024-12-21 05:45:04+00:00
59,1870344340876177517,@fentasyl Yes,2024-12-21 05:43:34+00:00
60,1870343390375608412,"RT @LibertyCappy: HUGE WIN today in Congress

Here's what I saw:

Trump, Elon, and a bunch of freedom fighters went to WAR against the swam…",2024-12-21 05:39:48+00:00
61,1870343172464796055,@farzyness Should be obvious to people at this point,2024-12-21 05:38:56+00:00
62,1870342680481280105,@RogerMarshallMD @SpeakerJohnson True,2024-12-21 05:36:58+00:00
63,1870341830404968699,@WesternLensman Jennings is great,2024-12-21 05:33:36+00:00
64,1870340340793614782,"RT @MarioNawfal: 🚨🇺🇸🇮🇱 JUDGE SLAMS ISRAELI SPYWARE FIRM OVER WHATSAPP SPYWARE LAWSUIT

A federal judge sanctioned Israeli spyware firm NSO…",2024-12-21 05:27:41+00:00
65,1870339838127542374,@The_Batmanuel 😂,2024-12-21 05:25:41+00:00
66,1870338853795688791,@thatsKAIZEN Does Bernie criticize Dem billionaires?,2024-12-21 05:21:46+00:00
67,1870338630956577220,"RT @thatsKAIZEN: 83 billionaires supported Kamala
52 billionaires supported Trump

Kamala raised $1b+
Trump raised $400m",2024-12-21 05:20:53+00:00
68,1870338585448284495,@TheRabbitHole84 Very true,2024-12-21 05:20:42+00:00
69,1870338404954861912,RT @AutismCapital: 🚨NEW: Did you know that the X web interface now has a GROK button that can generate images for your posts? Once you hit…,2024-12-21 05:19:59+00:00
70,1870338310666600829,@Rob_2628 Terrible,2024-12-21 05:19:37+00:00
71,1870338196397064336,@MarioNawfal Strange things happen when particles are very still,2024-12-21 05:19:09+00:00
72,1870335125520589019,@SeibtNaomi True,2024-12-21 05:06:57+00:00
73,1870321620163649913,@AutismCapital They have no idea. They don’t know they’re living in the matrix and the matrix is about to receive a major software update.,2024-12-21 04:13:17+00:00
74,1870315193475174883,"@AutismCapital True, this is a gamechanger!",2024-12-21 03:47:45+00:00
75,1870258448606372098,"Wow, this is insane. 

Whoever refused to extradite a murderer deserves to be punished severely! https://t.co/wnqwhYVdw0",2024-12-21 00:02:16+00:00
76,1870258113418297755,@brettmoulton24 Yeah,2024-12-21 00:00:56+00:00
77,1870256916993060927,@GadSaad ❤️,2024-12-20 23:56:11+00:00
78,1870256820343701593,@AdrianDittmann Yes,2024-12-20 23:55:48+00:00
79,1870256558602629292,@SpeakerJohnson 🇺🇸🇺🇸,2024-12-20 23:54:45+00:00
80,1870256283980300507,"Your actions turned a bill that weighed pounds into a bill that weighed ounces!

You are the media now.

VOX POPULI
VOX DEI https://t.co/mPPRQCnph0",2024-12-20 23:53:40+00:00
81,1870254125297938725,@teslaownersSV 😂,2024-12-20 23:45:05+00:00
82,1870253632098050543,https://t.co/7rTkgQe8QF,2024-12-20 23:43:08+00:00
83,1870253442054127930,@GadSaad 😂,2024-12-20 23:42:22+00:00
84,1870252548906529012,@teslaownersSV 🥰,2024-12-20 23:38:49+00:00
85,1870252376726380661,RT @Starlink: Access to high-speed internet the moment you step onboard the plane 🛰️✈️,2024-12-20 23:38:08+00:00
86,1870252341141655660,@SeibtNaomi True,2024-12-20 23:38:00+00:00
87,1870252002522853555,@nicksortor Progress,2024-12-20 23:36:39+00:00
88,1870249784663216135,"RT @KanekoaTheGreat: BREAKING: @Weaponization just dropped a MASSIVE 17,000-page report on the Biden Admin's weaponized federal government.…",2024-12-20 23:27:50+00:00
89,1870242954281152730,True https://t.co/j7eyQPSoFk,2024-12-20 23:00:42+00:00
90,1870241934511329359,"@EricLDaugh Congratulations on your “victory”, @RepJeffries lol https://t.co/uxtHKXOamZ",2024-12-20 22:56:39+00:00
91,1870241053800047043,"RT @teslaownersSV: Make kids not war 

Elon Musk https://t.co/5epYhp2OKZ",2024-12-20 22:53:09+00:00
92,1870240308124115166,@teslaownersSV Tragic,2024-12-20 22:50:11+00:00
93,1870240156369801248,@DefiyantlyFree @megynkelly True,2024-12-20 22:49:35+00:00
94,1870239818028069056,RT @SteddyRecovery: @elonmusk and GROK gave me a great summary btw! 🤣 https://t.co/BQeDgeZxhq,2024-12-20 22:48:14+00:00
95,1870236798267298044,"The Speaker did a good job here, given the circumstances. 

It went from a bill that weighed pounds to a bill that weighed ounces. 

Ball should now be in the Dem court. https://t.co/KnSwLEjvjd",2024-12-20 22:36:14+00:00
96,1870235500776243250,This is a broken system https://t.co/EcjmqIO0ce,2024-12-20 22:31:05+00:00
97,1870234022195986774,@CollinRugg She talks in “SCREECH” … the worst,2024-12-20 22:25:12+00:00
98,1870233561753633123,@bennyjohnson This awful creature needs to be expelled from Congress! Ugh …,2024-12-20 22:23:23+00:00
